ORIGIN,DEST,ORIGIN_DEGREE,DEST_DEGREE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DEP_DELAY,DEP_TIME_NIGHT,DEP_TIME_TWILIGHT,DEP_TIME_MORNING,DEP_TIME_NOON,DEP_TIME_AFTERNOON,DEP_TIME_EVENING,CARRIER_AA,CARRIER_AS,CARRIER_B6,CARRIER_DL,CARRIER_EV,CARRIER_F9,CARRIER_HA,CARRIER_NK,CARRIER_OO,CARRIER_UA,CARRIER_VX,CARRIER_WN,MEDIAN_ARR_DELAY,MEAN_ARR_DELAY,Q1_ARR_DELAY,Q3_ARR_DELAY,Q0_ARR_DELAY,Q95_ARR_DELAY,MEDIAN_CARRIER_DELAY,MEAN_CARRIER_DELAY,Q1_CARRIER_DELAY,Q3_CARRIER_DELAY,Q0_CARRIER_DELAY,Q95_CARRIER_DELAY,MEDIAN_WEATHER_DELAY,MEAN_WEATHER_DELAY,Q1_WEATHER_DELAY,Q3_WEATHER_DELAY,Q0_WEATHER_DELAY,Q95_WEATHER_DELAY,MEDIAN_NAS_DELAY,MEAN_NAS_DELAY,Q1_NAS_DELAY,Q3_NAS_DELAY,Q0_NAS_DELAY,Q95_NAS_DELAY,MEDIAN_SECURITY_DELAY,MEAN_SECURITY_DELAY,Q1_SECURITY_DELAY,Q3_SECURITY_DELAY,Q0_SECURITY_DELAY,Q95_SECURITY_DELAY,MEDIAN_LATE_AIRCRAFT_DELAY,MEAN_LATE_AIRCRAFT_DELAY,Q1_LATE_AIRCRAFT_DELAY,Q3_LATE_AIRCRAFT_DELAY,Q0_LATE_AIRCRAFT_DELAY,Q95_LATE_AIRCRAFT_DELAY,MEDIAN_DEP_DELAY,MEAN_DEP_DELAY,Q1_DEP_DELAY,Q3_DEP_DELAY,Q0_DEP_DELAY,Q95_DEP_DELAY
DTW,DAL,98159,57648,0.0,0.0,0.0,0.0,0.0,20.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.0,22.0,11.5,32.5,3.0999999999999996,40.9,3.0,3.0,1.5,4.5,0.30000000000000004,5.699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,18.5,18.5,9.25,27.75,1.85,35.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,9.5,16.5,6.699999999999999,19.3
IAD,SEA,24848,99601,0.0,0.0,0.0,0.0,0.0,-4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-14.5,-14.25,-15.5,-13.25,-16.7,-11.450000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.5,0.5,-3.7,1.6999999999999993
MSP,MKE,106716,25784,0.0,0.0,0.0,0.0,0.0,-4.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-12.0,-8.222222222222221,-15.0,-5.0,-16.2,8.599999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8888888888888888,0.0,0.0,0.0,10.199999999999994,-4.0,-2.111111111111111,-6.0,-2.0,-8.0,10.999999999999993
PBI,EWR,17131,76557,0.0,0.0,32.0,0.0,0.0,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-5.0,1.0,-10.0,10.0,-14.2,28.799999999999997,0.0,0.7777777777777778,0.0,0.0,0.0,4.1999999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5555555555555554,0.0,0.0,0.0,19.19999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8888888888888888,0.0,0.0,0.0,10.199999999999994,5.0,5.666666666666667,-5.0,10.0,-6.6000000000000005,28.999999999999993
ATL,ORD,322097,150532,0.0,0.0,0.0,0.0,0.0,10.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-11.0,-6.5,-18.0,-2.5,-24.7,36.649999999999935,0.0,1.375,0.0,0.0,0.0,0.0,0.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,0.0,11.89999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,-2.0,2.625,-2.25,0.75,-3.8499999999999996,26.39999999999999
DTW,MCO,98159,89682,0.0,0.0,0.0,0.0,0.0,-3.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-9.0,-2.4,-15.75,-0.5,-20.3,35.249999999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,17.599999999999966,0.0,1.0,0.0,0.0,0.0,5.499999999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,12.849999999999993,-2.0,4.8,-2.75,-0.25,-7.550000000000001,36.94999999999999
MCO,DEN,89682,168003,0.0,0.0,0.0,0.0,0.0,-7.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-12.5,-11.916666666666666,-18.25,-3.75,-23.35,-1.2000000000000028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,-0.6666666666666666,-3.5,-0.75,-5.8999999999999995,9.199999999999989
LIH,HNL,8556,36100,0.0,0.0,0.0,0.0,0.0,-6.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.5,6.769230769230769,-1.5,10.75,-5.75,31.75,0.0,1.4615384615384615,0.0,0.0,0.0,10.0,0.0,0.34615384615384615,0.0,0.0,0.0,0.0,0.0,0.6538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.730769230769231,0.0,0.0,0.0,23.25,-1.5,2.3076923076923075,-5.0,4.5,-7.0,24.75
ATL,MLI,322097,2063,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-14.5,-14.5,-14.75,-14.25,-14.95,-14.049999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,-5.5,-2.5,-6.699999999999999,-1.3000000000000003
JFK,MCO,58709,89682,0.0,0.0,0.0,0.0,0.0,-7.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.0,0.7777777777777778,-10.75,1.5,-23.299999999999997,36.14999999999997,0.0,0.8333333333333334,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.388888888888889,0.0,0.0,0.0,18.549999999999976,0.0,1.1666666666666667,0.0,0.0,0.0,3.14999999999997,0.0,2.2777777777777777,0.0,0.0,0.0,15.949999999999982,-3.0,4.666666666666667,-4.75,7.75,-7.0,25.19999999999996
