ORIGIN,DEST,ORIGIN_DEGREE,DEST_DEGREE,CARRIER_AA,CARRIER_AS,CARRIER_B6,CARRIER_DL,CARRIER_EV,CARRIER_F9,CARRIER_HA,CARRIER_NK,CARRIER_OO,CARRIER_UA,CARRIER_VX,CARRIER_WN,DEP_TIME_NIGHT,DEP_TIME_TWILIGHT,DEP_TIME_MORNING,DEP_TIME_NOON,DEP_TIME_AFTERNOON,DEP_TIME_EVENING
BOS,ATL,82073,322097,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PHX,ABQ,115923,15237,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
SAT,ATL,22709,322097,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SLC,DEN,88398,168003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MCO,ATL,89682,322097,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
SLC,IDA,88398,1801,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ATL,OMA,322097,13645,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PHL,PHX,45880,115923,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ERI,ORD,604,150532,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
EWR,FLL,76557,59958,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
TPA,DCA,50072,51878,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BHM,ATL,10543,322097,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ATL,SDF,322097,7932,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OAK,LAX,42979,152781,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
MSP,GRB,106716,3057,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
LAS,PIT,120446,18607,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
JAX,LGA,14089,57313,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
MCI,LGA,34569,57313,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ORF,MCO,8246,89682,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
LAS,PHL,120446,45880,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ATL,RIC,322097,10915,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MCO,ATL,89682,322097,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ATL,CLT,322097,74006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ATL,MIA,322097,17748,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PHX,DEN,115923,168003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CLT,MEM,74006,10350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CLT,TPA,74006,50072,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SEA,OGG,99601,17168,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLC,DAL,88398,57648,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
JFK,BOS,58709,82073,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PHX,SEA,115923,99601,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DTW,BNA,98159,42788,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SJC,DAL,32808,57648,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
MEM,DEN,10350,168003,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
