ORIGIN,DEST,UNIQUE_CARRIER,ORIGIN_DEGREE,DEST_DEGREE,ORIGIN_NAME,ORIGIN_CITY,ORIGIN_IATA,ORIGIN_STATE,DEST_NAME,DEST_CITY,DEST_IATA,DEST_STATE
AUS,ELP,WN,33402,8551,Austin Bergstrom International Airport,Austin,AUS,TX,El Paso International Airport,El Paso,ELP,TX
SAT,ELP,WN,22709,8551,San Antonio International Airport,San Antonio,SAT,TX,El Paso International Airport,El Paso,ELP,TX
LAX,SJC,WN,152781,32808,Los Angeles International Airport,Los Angeles,LAX,CA,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
LAX,SJC,DL,152781,32808,Los Angeles International Airport,Los Angeles,LAX,CA,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
ATL,SJC,DL,322097,32808,Hartsfield Jackson Atlanta International Airport,Atlanta,ATL,GA,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
MDW,SJC,WN,79129,32808,Chicago Midway International Airport,Chicago,MDW,IL,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
SEA,SJC,WN,99601,32808,Seattle Tacoma International Airport,Seattle,SEA,WA,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
SEA,SJC,AS,99601,32808,Seattle Tacoma International Airport,Seattle,SEA,WA,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
SEA,SJC,OO,99601,32808,Seattle Tacoma International Airport,Seattle,SEA,WA,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
LIH,SJC,AS,8556,32808,Lihue Airport,Lihue,LIH,HI,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
JFK,SJC,B6,58709,32808,John F Kennedy International Airport,New York,JFK,NY,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
PDX,SJC,AS,43638,32808,Portland International Airport,Portland,PDX,OR,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
PDX,SJC,WN,43638,32808,Portland International Airport,Portland,PDX,OR,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
PDX,SJC,OO,43638,32808,Portland International Airport,Portland,PDX,OR,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
DEN,SJC,UA,168003,32808,Denver International Airport,Denver,DEN,CO,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
DEN,SJC,WN,168003,32808,Denver International Airport,Denver,DEN,CO,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
DEN,SJC,OO,168003,32808,Denver International Airport,Denver,DEN,CO,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
OGG,SJC,AS,17168,32808,Kahului Airport,Kahului,OGG,HI,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
DFW,SJC,AA,67470,32808,Dallas Fort Worth International Airport,Dallas-Fort Worth,DFW,TX,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
PHX,SJC,WN,115923,32808,Phoenix Sky Harbor International Airport,Phoenix,PHX,AZ,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
PHX,SJC,AA,115923,32808,Phoenix Sky Harbor International Airport,Phoenix,PHX,AZ,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
LAS,SJC,WN,120446,32808,McCarran International Airport,Las Vegas,LAS,NV,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
DAL,SJC,WN,57648,32808,Dallas Love Field,Dallas,DAL,TX,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
SAN,SJC,WN,60051,32808,San Diego International Airport,San Diego,SAN,CA,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
SAN,SJC,OO,60051,32808,San Diego International Airport,San Diego,SAN,CA,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
SLC,SJC,OO,88398,32808,Salt Lake City International Airport,Salt Lake City,SLC,UT,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
SLC,SJC,DL,88398,32808,Salt Lake City International Airport,Salt Lake City,SLC,UT,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
HNL,SJC,AS,36100,32808,Honolulu International Airport,Honolulu,HNL,HI,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
HNL,SJC,HA,36100,32808,Honolulu International Airport,Honolulu,HNL,HI,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
AUS,SJC,WN,33402,32808,Austin Bergstrom International Airport,Austin,AUS,TX,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
SNA,SJC,WN,30716,32808,John Wayne Airport-Orange County Airport,Santa Ana,SNA,CA,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
SNA,SJC,OO,30716,32808,John Wayne Airport-Orange County Airport,Santa Ana,SNA,CA,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
ONT,SJC,WN,15155,32808,Ontario International Airport,Ontario,ONT,CA,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
